ticket,department
https://ticket.idrive.com/scp/ajax.php/tickets/1319742/assign/agents,IBWin (EVS)
https://ticket.idrive.com/scp/ajax.php/tickets/1319742/assign/agents,IBWin (Client)
https://ticket.idrive.com/scp/ajax.php/tickets/1319742/assign/agents,IBWin (Server)
https://ticket.idrive.com/scp/ajax.php/tickets/1319742/assign/agents,IBWin (Advanced)
https://ticket.idrive.com/scp/ajax.php/tickets/1319744/assign/agents,DavManager (Web)
https://ticket.idrive.com/scp/ajax.php/tickets/1319746/assign/agents,IDrive 360
https://ticket.idrive.com/scp/ajax.php/tickets/1319747/assign/agents,IDrive E2
https://ticket.idrive.com/scp/ajax.php/tickets/1319748/assign/agents,IDriveSync
https://ticket.idrive.com/scp/ajax.php/tickets/1319749/assign/agents,IBent (Legacy IDrive/IBackup)
https://ticket.idrive.com/scp/ajax.php/tickets/1319751/assign/agents,Linux
https://ticket.idrive.com/scp/ajax.php/tickets/1319758/assign/agents,Mobile
https://ticket.idrive.com/scp/ajax.php/tickets/1319759/assign/agents,RemotePC Development
https://ticket.idrive.com/scp/ajax.php/tickets/1319760/assign/agents,Remote Desktop Support
https://ticket.idrive.com/scp/ajax.php/tickets/1319762/assign/agents,RemotePC Codec
https://ticket.idrive.com/scp/ajax.php/tickets/1319763/assign/agents,Openstack-Infra
https://ticket.idrive.com/scp/ajax.php/tickets/1319764/assign/agents,Infra
https://ticket.idrive.com/scp/ajax.php/tickets/1319765/assign/agents,Mac
https://ticket.idrive.com/scp/ajax.php/tickets/1319766/assign/agents,Mirror
https://ticket.idrive.com/scp/ajax.php/tickets/1319768/assign/agents,Meeting
https://ticket.idrive.com/scp/ajax.php/tickets/1321297/assign/agents,India Support
https://ticket.idrive.com/scp/ajax.php/tickets/1320820/assign/agents,IDrive C2C
